,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
5956,9.42,0.0,268518.0,99.8,2.0,4,16.0,2012
5957,309.89,6.0,145.0,97.3,2.0,11,64.0,2017
5958,199.0,1.0,60973.0,100.0,2.0,11,64.0,2017
5959,124.99,1.0,6327.0,99.1,2.0,11,64.0,2017
5960,700.99,3.0,54737.0,99.4,3.0,16,128.0,2020
5961,157.31,1.0,313.0,100.0,2.0,10,128.0,2016
5962,47.49,0.0,3098.0,99.1,0.0,10,32.0,2016
5963,25.99,6.0,475.0,97.9,2.0,11,92.72343149807938,2017
5964,33.33,6.0,75.0,100.0,2.0,13,89.74946921443737,2018
5965,42.99,0.0,54737.0,99.4,3.0,7,16.0,2014
5966,24.53,6.0,615.0,98.2,2.0,17,177.7258064516129,2021
5969,475.0,1.0,94.0,75.0,0.0,15,64.0,2019
5970,68.0,0.0,16.0,94.4,0.0,10,32.0,2016
5971,39.85,1.0,136775.0,98.8,2.0,4,32.0,2012
5972,354.0,5.0,80245.0,99.7,2.0,14,64.0,2018
5974,98.99,1.0,145.0,100.0,0.0,8,16.0,2015
5975,275.0,1.0,523.0,100.0,0.0,13,89.74946921443737,2018
5976,100.0,1.0,85.0,100.0,0.0,10,128.0,2016
5977,27.99,6.0,615.0,98.2,2.0,15,124.43806104129264,2019
5978,39.95,1.0,1584.0,100.0,2.0,6,16.0,2013
5979,80.0,1.0,684.0,100.0,0.0,4,16.0,2012
5980,199.99,1.0,121485.0,99.9,2.0,13,64.0,2018
5981,169.99,1.0,879.0,100.0,0.0,11,64.0,2017
5982,9.99,6.0,310.0,98.0,3.0,10,78.54110612855007,2016
5983,368.66,6.0,56.0,100.0,2.0,11,256.0,2017
5984,31.98,6.0,1543.0,96.9,3.0,10,78.54110612855007,2016
5985,344.99,6.0,5134.0,99.6,2.0,9,64.0,2016
5986,23.72,6.0,279.0,96.8,2.0,15,124.43806104129264,2019
5987,230.0,1.0,73.0,100.0,0.0,9,64.0,2016
5988,30.0,0.0,65.0,100.0,0.0,9,64.0,2016
5989,263.0,1.0,80245.0,99.7,2.0,13,256.0,2018
5990,325.0,6.0,326.0,100.0,0.0,8,32.0,2015
5991,199.66,6.0,56.0,100.0,2.0,8,64.0,2015
5992,355.99,3.0,54737.0,99.4,3.0,15,64.0,2019
5994,599.99,1.0,121485.0,99.9,2.0,16,256.0,2020
5995,199.0,5.0,60973.0,100.0,2.0,9,64.0,2016
5996,133.95,1.0,103305.0,99.3,2.0,10,128.0,2016
5997,69.98,1.0,43217.0,99.7,2.0,8,16.0,2015
5998,39.99,1.0,103305.0,99.3,2.0,6,32.0,2013
5999,13.29,6.0,486.0,95.8,3.0,12,140.52173913043478,2017
6000,139.95,5.0,8258.0,100.0,2.0,10,32.0,2016
6001,29.31,6.0,1569.0,96.0,3.0,11,92.72343149807938,2017
6003,4.99,6.0,14143.0,98.6,2.0,10,78.54110612855007,2016
6004,9.99,6.0,918.0,95.5,3.0,10,78.54110612855007,2016
6006,9.99,6.0,918.0,95.5,3.0,9,65.08936170212766,2016
6007,219.66,6.0,56.0,100.0,2.0,8,64.0,2015
6008,129.5,1.0,3252.0,99.5,0.0,7,64.0,2014
6010,89.99,1.0,402.0,100.0,0.0,7,16.0,2014
6011,24.99,6.0,42.0,100.0,2.0,17,177.7258064516129,2021
6013,769.95,2.0,82193.0,98.4,3.0,16,128.0,2020
6014,6.99,6.0,4275.0,97.4,2.0,11,92.72343149807938,2017
6015,31.25,6.0,1600.0,97.2,3.0,10,78.54110612855007,2016
6016,11.39,6.0,374.0,98.2,2.0,15,124.43806104129264,2019
6017,135.63,1.0,6199.0,99.7,2.0,11,64.0,2017
6019,9.99,6.0,310.0,98.0,3.0,15,124.43806104129264,2019
6020,24.89,1.0,136775.0,98.8,2.0,3,8.0,2011
6021,24.52,6.0,3529.0,98.1,2.0,14,177.84242424242424,2018
6022,36.0,1.0,5680.0,99.4,2.0,6,16.0,2013
6023,60.0,1.0,3.0,100.0,2.0,8,16.0,2015
6025,219.0,1.0,109.0,100.0,0.0,10,32.0,2016
6026,194.96,5.0,5.0,100.0,0.0,9,64.0,2016
6027,731.99,3.0,54737.0,99.4,3.0,16,256.0,2020
6028,21.3,6.0,1402.0,96.9,2.0,15,124.43806104129264,2019
6030,84.15,1.0,6199.0,99.7,2.0,10,32.0,2016
6031,25.0,0.0,26.0,100.0,0.0,4,16.0,2012
6033,139.0,4.0,21989.0,99.8,3.0,8,64.0,2015
6034,239.66,6.0,56.0,100.0,2.0,8,128.0,2015
